alter,beruf,familienstand,bildungsstand,default,saldo,immobilien,gehalt,kontaktart,tag,monat,dauer,kampagne,btage,vorzugehorigkeit,bausgabe,y
40,technician,ledig,sekundaer,no,591,no,yes,cellular,14,aug,87,6,-1,0,unknown,no
50,blue-collar,geschieden,primaer,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no
40,unemployed,verheiratet,sekundaer,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no
27,admin.,geschieden,sekundaer,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown,yes
60,retired,verheiratet,primaer,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no
28,admin.,ledig,sekundaer,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,no
52,services,verheiratet,sekundaer,no,657,no,no,telephone,7,jul,398,2,460,2,failure,yes
37,management,verheiratet,tertiaer,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,yes
51,blue-collar,verheiratet,primaer,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no
41,technician,ledig,sekundaer,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown,no
35,blue-collar,ledig,primaer,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no
38,admin.,verheiratet,sekundaer,no,424,yes,no,cellular,17,apr,279,1,-1,0,unknown,no
34,blue-collar,verheiratet,sekundaer,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no
39,blue-collar,verheiratet,primaer,no,111,no,no,cellular,18,nov,201,2,-1,0,unknown,no
34,blue-collar,verheiratet,primaer,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,no
27,services,ledig,sekundaer,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes
32,management,ledig,tertiaer,no,3616,no,no,cellular,14,aug,165,2,-1,0,unknown,no
57,blue-collar,verheiratet,sekundaer,no,14093,no,no,cellular,11,aug,231,5,-1,0,unknown,no
41,unknown,ledig,tertiaer,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no
41,admin.,verheiratet,tertiaer,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
30,admin.,ledig,tertiaer,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no
36,blue-collar,geschieden,sekundaer,no,2843,no,no,cellular,12,feb,473,1,182,1,success,no
31,unemployed,ledig,primaer,no,406,no,no,cellular,4,feb,736,1,-1,0,unknown,yes
36,blue-collar,verheiratet,sekundaer,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
38,management,ledig,tertiaer,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no
49,technician,verheiratet,sekundaer,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no
57,services,ledig,primaer,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no
34,management,ledig,sekundaer,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no
32,management,ledig,tertiaer,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no
37,blue-collar,verheiratet,sekundaer,no,427,yes,yes,unknown,9,jun,371,3,-1,0,unknown,no
33,self-employed,verheiratet,tertiaer,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no
56,unemployed,verheiratet,primaer,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes
27,housemaid,verheiratet,primaer,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no
21,student,ledig,sekundaer,no,2488,no,no,cellular,30,jun,258,6,169,3,success,yes
58,management,verheiratet,tertiaer,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no
32,self-employed,verheiratet,sekundaer,no,217,yes,yes,cellular,15,jul,317,5,-1,0,unknown,no
33,blue-collar,ledig,sekundaer,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no
25,student,ledig,sekundaer,no,331,no,no,telephone,26,aug,170,4,-1,0,unknown,yes
25,technician,ledig,sekundaer,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
30,services,verheiratet,sekundaer,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no
22,admin.,ledig,sekundaer,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no
39,blue-collar,verheiratet,primaer,no,52,no,no,cellular,13,aug,69,1,-1,0,unknown,no
46,management,geschieden,tertiaer,no,25,no,no,unknown,17,jun,564,2,-1,0,unknown,no
31,admin.,geschieden,sekundaer,no,1890,yes,no,cellular,21,jul,588,1,-1,0,unknown,no
45,blue-collar,verheiratet,primaer,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no
32,technician,verheiratet,sekundaer,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no
36,blue-collar,verheiratet,sekundaer,no,-231,no,yes,cellular,15,jul,779,2,-1,0,unknown,no
51,management,ledig,tertiaer,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no
34,self-employed,ledig,tertiaer,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
24,unemployed,ledig,sekundaer,no,119,no,no,unknown,15,sep,51,1,-1,0,unknown,no
45,technician,ledig,sekundaer,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,no
32,blue-collar,ledig,sekundaer,no,228,no,no,telephone,5,feb,176,1,288,3,failure,no
77,retired,geschieden,tertiaer,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes
41,blue-collar,verheiratet,primaer,no,168,yes,no,cellular,18,nov,187,3,-1,0,unknown,no
37,blue-collar,verheiratet,primaer,no,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no
43,blue-collar,verheiratet,unknown,yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no
48,admin.,verheiratet,unknown,no,0,yes,no,cellular,8,may,85,1,168,2,failure,no
27,technician,ledig,sekundaer,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no
33,management,ledig,tertiaer,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no
29,admin.,ledig,sekundaer,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no
34,management,ledig,tertiaer,no,0,no,no,cellular,5,feb,71,1,-1,0,unknown,no
52,management,verheiratet,tertiaer,no,-970,yes,no,cellular,4,feb,489,1,-1,0,unknown,yes
60,management,verheiratet,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no
32,management,geschieden,tertiaer,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no
32,management,ledig,tertiaer,no,0,yes,no,cellular,22,jul,455,2,-1,0,unknown,no
56,services,geschieden,unknown,no,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no
31,management,ledig,tertiaer,no,874,yes,no,cellular,18,nov,190,2,-1,0,unknown,no
42,admin.,verheiratet,sekundaer,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no
35,management,verheiratet,tertiaer,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no
56,retired,verheiratet,primaer,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no
48,technician,verheiratet,sekundaer,no,1152,yes,no,cellular,21,jul,168,5,-1,0,unknown,no
46,admin.,verheiratet,sekundaer,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no
37,technician,ledig,unknown,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no
41,entrepreneur,verheiratet,unknown,no,89,yes,no,unknown,6,may,333,2,-1,0,unknown,no
36,management,ledig,tertiaer,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no
45,unemployed,geschieden,primaer,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no
55,entrepreneur,verheiratet,sekundaer,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no
39,technician,verheiratet,sekundaer,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no
35,technician,geschieden,sekundaer,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no
55,admin.,verheiratet,sekundaer,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes
55,technician,verheiratet,sekundaer,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no
27,self-employed,ledig,sekundaer,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no
34,technician,verheiratet,sekundaer,no,1641,yes,no,cellular,17,apr,380,1,-1,0,unknown,no
34,blue-collar,verheiratet,tertiaer,no,20,no,no,unknown,4,oct,10,1,-1,0,unknown,no
25,admin.,ledig,sekundaer,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown,no
41,admin.,ledig,sekundaer,no,-256,no,yes,unknown,9,may,35,3,-1,0,unknown,no
43,services,verheiratet,sekundaer,no,978,yes,yes,unknown,26,may,82,2,-1,0,unknown,no
28,management,ledig,tertiaer,no,80,no,no,cellular,20,oct,676,2,146,2,failure,yes
31,admin.,ledig,sekundaer,no,2104,yes,no,unknown,3,jun,455,1,-1,0,unknown,no
78,housemaid,verheiratet,sekundaer,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no
45,blue-collar,geschieden,sekundaer,no,1269,yes,no,cellular,29,jan,549,2,-1,0,unknown,no
48,technician,verheiratet,tertiaer,no,310,no,no,unknown,6,may,135,1,-1,0,unknown,no
32,blue-collar,ledig,sekundaer,no,1143,yes,yes,cellular,10,jul,412,1,-1,0,unknown,no
42,technician,verheiratet,sekundaer,no,2980,no,no,unknown,20,jun,101,3,-1,0,unknown,no
37,management,ledig,tertiaer,no,37,no,no,cellular,28,jan,253,2,-1,0,unknown,no
40,admin.,ledig,sekundaer,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,no
32,admin.,verheiratet,sekundaer,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no
42,management,verheiratet,tertiaer,no,9009,no,no,cellular,20,nov,135,2,-1,0,unknown,no
43,admin.,verheiratet,sekundaer,no,-465,yes,yes,cellular,23,jul,166,1,-1,0,unknown,no
44,admin.,verheiratet,sekundaer,no,5181,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no
37,admin.,verheiratet,sekundaer,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no
37,unknown,verheiratet,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,no
37,admin.,verheiratet,tertiaer,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,no
28,technician,ledig,tertiaer,no,172,yes,yes,cellular,2,feb,194,2,-1,0,unknown,no
32,services,ledig,sekundaer,no,0,no,yes,cellular,11,jul,333,2,-1,0,unknown,no
34,admin.,ledig,sekundaer,no,6979,yes,no,cellular,15,may,14,5,-1,0,unknown,no
40,admin.,geschieden,sekundaer,no,6,no,no,unknown,11,jun,140,1,-1,0,unknown,no
34,services,verheiratet,sekundaer,no,-62,yes,no,unknown,16,jun,109,3,-1,0,unknown,no
34,self-employed,verheiratet,tertiaer,no,1972,yes,no,cellular,23,jul,61,2,-1,0,unknown,no
34,admin.,verheiratet,tertiaer,no,899,yes,no,telephone,19,nov,377,3,7,4,success,no
37,services,ledig,sekundaer,no,21,yes,no,cellular,2,feb,96,1,271,2,other,no
36,technician,verheiratet,sekundaer,no,23,yes,no,cellular,8,may,152,2,347,1,failure,no
56,retired,verheiratet,sekundaer,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes
49,blue-collar,verheiratet,primaer,no,0,yes,yes,telephone,23,jul,97,6,-1,0,unknown,no
33,self-employed,verheiratet,sekundaer,no,215,yes,no,cellular,29,jul,543,12,-1,0,unknown,no
30,management,ledig,tertiaer,no,1372,no,no,cellular,20,nov,240,2,-1,0,unknown,no
36,services,verheiratet,sekundaer,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no
23,student,ledig,sekundaer,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,no
57,retired,geschieden,sekundaer,no,39,yes,no,cellular,30,jul,354,3,-1,0,unknown,no
27,blue-collar,ledig,sekundaer,no,5563,yes,no,unknown,30,may,435,2,-1,0,unknown,no
38,services,verheiratet,sekundaer,no,1,no,yes,cellular,21,nov,152,2,-1,0,unknown,no
42,technician,verheiratet,tertiaer,no,782,no,no,cellular,3,apr,285,1,-1,0,unknown,no
75,retired,verheiratet,sekundaer,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes
34,technician,ledig,tertiaer,no,992,yes,no,cellular,4,may,301,1,88,2,success,no
48,technician,verheiratet,sekundaer,no,1526,no,no,cellular,6,aug,273,2,-1,0,unknown,no
35,technician,ledig,tertiaer,no,2658,yes,no,cellular,19,aug,768,2,141,3,failure,yes
39,management,geschieden,tertiaer,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no
29,blue-collar,ledig,tertiaer,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,yes
45,technician,ledig,tertiaer,no,0,yes,no,cellular,18,nov,139,2,-1,0,unknown,no
42,technician,verheiratet,sekundaer,no,2030,yes,yes,cellular,9,jul,196,1,-1,0,unknown,no
29,technician,verheiratet,sekundaer,no,1599,yes,no,cellular,8,jul,115,1,61,1,failure,no
38,services,ledig,sekundaer,no,-196,yes,no,cellular,2,feb,60,1,271,1,failure,no
56,retired,verheiratet,sekundaer,no,1333,no,no,cellular,28,aug,17,14,-1,0,unknown,no
36,technician,ledig,sekundaer,no,9149,yes,no,cellular,13,aug,141,3,-1,0,unknown,no
25,blue-collar,ledig,sekundaer,no,-350,yes,no,unknown,23,jun,95,3,-1,0,unknown,no
38,technician,verheiratet,tertiaer,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
57,self-employed,verheiratet,sekundaer,no,11494,no,no,cellular,19,nov,198,1,-1,0,unknown,no
31,management,verheiratet,tertiaer,yes,-253,no,no,cellular,12,aug,220,4,-1,0,unknown,no
42,management,verheiratet,tertiaer,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes
45,technician,verheiratet,sekundaer,no,1410,no,no,cellular,11,aug,71,2,-1,0,unknown,no
30,blue-collar,verheiratet,sekundaer,no,975,yes,no,cellular,13,may,256,2,351,2,failure,no
49,blue-collar,verheiratet,primaer,no,305,yes,yes,telephone,10,jul,834,10,-1,0,unknown,no
49,services,verheiratet,sekundaer,no,400,no,no,cellular,21,aug,151,3,-1,0,unknown,no
53,retired,verheiratet,tertiaer,no,-22,yes,no,cellular,31,jul,20,3,-1,0,unknown,no
37,technician,verheiratet,sekundaer,no,4030,yes,no,unknown,26,may,178,5,-1,0,unknown,no
49,blue-collar,verheiratet,primaer,no,365,no,no,unknown,26,may,59,2,-1,0,unknown,no
41,self-employed,verheiratet,primaer,no,204,no,no,cellular,13,aug,111,7,-1,0,unknown,no
54,management,verheiratet,primaer,no,1691,yes,no,cellular,20,nov,186,1,-1,0,unknown,no
32,services,ledig,sekundaer,no,406,yes,no,unknown,6,may,227,1,-1,0,unknown,no
33,technician,verheiratet,sekundaer,no,-204,no,no,cellular,15,may,297,3,-1,0,unknown,no
33,technician,verheiratet,sekundaer,no,359,yes,no,cellular,20,apr,210,1,242,1,other,no
36,blue-collar,verheiratet,primaer,no,123,yes,no,cellular,18,may,9,1,-1,0,unknown,no
35,technician,verheiratet,tertiaer,no,0,yes,yes,cellular,23,sep,112,1,62,6,other,no
52,unknown,verheiratet,sekundaer,no,142,no,no,cellular,25,aug,112,6,-1,0,unknown,no
40,entrepreneur,verheiratet,tertiaer,no,3571,no,no,unknown,9,jun,222,3,-1,0,unknown,no
44,technician,ledig,sekundaer,no,33,yes,no,cellular,13,may,195,3,351,10,failure,no
45,blue-collar,ledig,sekundaer,no,0,yes,no,cellular,26,jul,768,2,91,5,success,no
30,student,ledig,sekundaer,no,3096,no,no,cellular,26,jan,123,1,-1,0,unknown,no
48,technician,geschieden,sekundaer,yes,20,no,no,cellular,27,aug,145,3,-1,0,unknown,no
33,blue-collar,verheiratet,sekundaer,no,3576,yes,no,cellular,2,apr,124,1,308,2,other,no
57,technician,verheiratet,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,no
57,housemaid,verheiratet,primaer,no,7082,no,no,unknown,6,jun,69,3,-1,0,unknown,no
51,unemployed,verheiratet,tertiaer,no,1634,yes,no,cellular,22,jul,168,4,-1,0,unknown,no
34,admin.,ledig,sekundaer,no,1,yes,no,cellular,22,jul,483,7,-1,0,unknown,no
50,self-employed,verheiratet,tertiaer,no,4012,no,no,cellular,19,nov,690,3,-1,0,unknown,no
44,management,verheiratet,tertiaer,no,3762,no,no,cellular,28,aug,125,12,-1,0,unknown,no
27,admin.,verheiratet,sekundaer,no,-247,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no
50,blue-collar,verheiratet,sekundaer,no,606,yes,no,unknown,14,may,673,2,-1,0,unknown,no
36,management,verheiratet,tertiaer,no,0,yes,no,cellular,28,jan,60,1,250,1,other,no
42,management,verheiratet,sekundaer,no,-189,yes,no,unknown,12,may,247,2,-1,0,unknown,no
32,unemployed,ledig,sekundaer,no,0,no,no,cellular,27,may,123,2,-1,0,unknown,no
42,management,verheiratet,tertiaer,no,484,yes,no,cellular,11,jul,144,2,-1,0,unknown,no
43,technician,verheiratet,sekundaer,no,0,no,yes,cellular,8,may,9,2,172,5,failure,no
31,management,verheiratet,tertiaer,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown,no
32,management,verheiratet,tertiaer,no,2349,no,no,cellular,14,aug,134,5,-1,0,unknown,no
55,blue-collar,geschieden,primaer,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no
58,retired,verheiratet,primaer,no,3401,yes,no,cellular,3,feb,84,3,265,2,failure,no
46,blue-collar,verheiratet,primaer,no,222,no,no,cellular,8,aug,71,2,-1,0,unknown,no
55,blue-collar,verheiratet,sekundaer,no,989,yes,yes,unknown,23,may,246,4,-1,0,unknown,no
34,management,verheiratet,tertiaer,no,415,no,yes,cellular,23,jul,361,2,-1,0,unknown,no
28,unemployed,ledig,sekundaer,no,16,no,no,cellular,12,aug,119,4,-1,0,unknown,no
42,technician,geschieden,tertiaer,no,7190,yes,no,cellular,29,jul,375,2,-1,0,unknown,no
29,blue-collar,ledig,sekundaer,no,482,no,yes,cellular,10,jul,1097,3,-1,0,unknown,yes
54,housemaid,verheiratet,sekundaer,no,209,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no
32,technician,ledig,sekundaer,no,0,no,no,cellular,26,aug,181,2,-1,0,unknown,no
39,technician,ledig,tertiaer,no,5803,no,no,cellular,2,feb,83,3,-1,0,unknown,no
53,entrepreneur,verheiratet,tertiaer,no,624,no,yes,cellular,21,jul,180,4,-1,0,unknown,no
58,technician,verheiratet,tertiaer,no,883,no,no,cellular,18,aug,543,1,78,2,failure,no
40,self-employed,verheiratet,sekundaer,no,1516,yes,yes,unknown,23,may,373,1,-1,0,unknown,no
29,student,ledig,sekundaer,no,872,yes,no,unknown,7,may,230,1,-1,0,unknown,no
33,technician,verheiratet,tertiaer,no,-988,yes,yes,cellular,15,jul,83,3,-1,0,unknown,no
38,admin.,ledig,sekundaer,no,902,yes,no,telephone,31,jul,58,13,-1,0,unknown,no
56,services,geschieden,sekundaer,no,1007,no,no,cellular,29,jul,88,6,-1,0,unknown,no
40,services,verheiratet,sekundaer,no,0,yes,no,cellular,2,jun,297,1,28,3,failure,no
24,blue-collar,ledig,sekundaer,no,174,yes,yes,cellular,18,may,487,1,-1,0,unknown,yes
46,management,verheiratet,sekundaer,no,12186,no,no,unknown,20,jun,29,3,-1,0,unknown,no
35,self-employed,verheiratet,sekundaer,no,524,yes,no,cellular,21,nov,484,4,-1,0,unknown,no
35,blue-collar,ledig,tertiaer,no,0,yes,no,cellular,21,jul,262,4,-1,0,unknown,no
34,technician,verheiratet,sekundaer,no,4,yes,no,unknown,15,may,644,1,-1,0,unknown,no
35,housemaid,verheiratet,tertiaer,no,11219,no,no,cellular,12,aug,699,2,79,1,failure,no
38,technician,ledig,tertiaer,no,0,no,no,cellular,28,aug,247,2,-1,0,unknown,no
50,blue-collar,verheiratet,primaer,no,5776,no,no,cellular,18,nov,49,3,-1,0,unknown,no
51,blue-collar,geschieden,primaer,no,37,yes,no,cellular,13,may,341,1,-1,0,unknown,no
59,self-employed,verheiratet,tertiaer,no,593,no,no,unknown,13,may,64,2,-1,0,unknown,no
